SUPPLIER_NAME,SUPPLIER_ID,SUPPLIER_POSTCODE,SUPPLIER_COUNTRY,NUM_SUPPLIERS,CONTRACT_BUYER,CONTRACT_BUYER_POSTCODE,CONTRACT_TITLE,CONTRACT_DATE,CONTRACT_DESC,CONTRACT_URL,CONTRACT_VALUE,CONTRACT_CURRENCY
Precious Homes Ltd,,,UK,1,Cambridgeshire County Council,CB3 0AP,Cambridgeshire County Council Residential Services for Adults with a Learning Disability,20200220,"Cambridgeshire County Council is commissioning residential services for adults with a learning disability, setting up an open framework for a period of 10 years. This means that the framework will re-open at intervals to allow for new and previously unsuccessful providers to apply to join. Providers must recognise the role they play in ensuring that people with learning disabilities experience the good health and well-being necessary to live a meaningful life. Providers should be aware that there are higher incidences of long term conditions, and other health problems, experienced by people with learning disabilities and prioritises preventative and palliative services and support to minimise potential impacts to service users. As such staff must have sufficient and appropriate training and skills to effectively engage people with learning disabilities in health promotion. The Council is trying to move towards a model that helps people to live as independently as possible at all levels of need, so the focus is on progression. Peterborough City Council may call-off this Framework for service users they have assessed as eligible using their own criteria.",http://ted.europa.eu/udl?uri=TED:NOTICE:086429-2020:TEXT:EN:HTML,224000000.00,GBP
Enlightenment Care Services Ltd,,,UK,2,Cambridgeshire County Council,NN1 1ED,Cambridgeshire County Council Supported Living Services for Adults with a Learning Disability,20200220,"Cambridgeshire County Council is commissioning supported living services for adults with a learning disability, setting up an open framework for a period of 10 years. This means that the framework will re-open at intervals to allow for new and previously unsuccessful providers to apply to join. There are 2 lots:",http://ted.europa.eu/udl?uri=TED:NOTICE:086431-2020:TEXT:EN:HTML,226000000,GBP
Community Integrated Care,,,UK,2,Cambridgeshire County Council,NN1 1ED,Cambridgeshire County Council Supported Living Services for Adults with a Learning Disability,20200220,"Cambridgeshire County Council is commissioning supported living services for adults with a learning disability, setting up an open framework for a period of 10 years. This means that the framework will re-open at intervals to allow for new and previously unsuccessful providers to apply to join. There are 2 lots:",http://ted.europa.eu/udl?uri=TED:NOTICE:086431-2020:TEXT:EN:HTML,226000000,GBP
Balfour Beatty Group Ltd,,E14 5HU,UK,1,Leeds City Council,,East Leeds Orbital Route — Phase 3 Award,20200221,East Leeds Orbital Route — Phase 3 Award.,http://ted.europa.eu/udl?uri=TED:NOTICE:088790-2020:TEXT:EN:HTML,80616368.67,GBP
Bowmer and Kirkland,701982,DE56 2BW,UK,2,Department for Education,SW1P 3BT,DfE Offsite Schools Framework (Incorporating Modular and MMC delivery),20200221,"The Department for Education (DfE) wishes to procure a new offsite construction framework for the design and build of offsite schools and educational establishments to support its educational infrastructure delivery programmes and other initiatives. The DfE offsite framework is being established to cultivate innovation and modernise the industry by increasing the adoption of MMC (modern methods of construction) offsite production in the market, in line with the government’s commitment to MMC and its presumption in favour of offsite construction by 2019 across suitable capital programmes, where it represents best value for money.",http://ted.europa.eu/udl?uri=TED:NOTICE:088791-2020:TEXT:EN:HTML,3000000000.00,GBP
Eco Modular Buildings Ltd,07365245,HU7 0XQ,UK,2,Department for Education,SW1P 3BT,DfE Offsite Schools Framework (Incorporating Modular and MMC delivery),20200221,"The Department for Education (DfE) wishes to procure a new offsite construction framework for the design and build of offsite schools and educational establishments to support its educational infrastructure delivery programmes and other initiatives. The DfE offsite framework is being established to cultivate innovation and modernise the industry by increasing the adoption of MMC (modern methods of construction) offsite production in the market, in line with the government’s commitment to MMC and its presumption in favour of offsite construction by 2019 across suitable capital programmes, where it represents best value for money.",http://ted.europa.eu/udl?uri=TED:NOTICE:088791-2020:TEXT:EN:HTML,3000000000.00,GBP
Chroma Vision Ltd,,,UK,1,Bristol City Council,BS1 5TR,Bristol City Council Supply and Maintenance of CCTV and Fibre,20200221,"Bristol City Council seeks to appoint through this procurement, a contractor to provide the provision for an non-exclusive extension, upgrade, installation, restoration, design and maintenance of all fibre and CCTV infrastructure and associated networks, services and equipment (including innovative technology where applicable) on behalf of the Employer as a whole. This shall also include all companies owned in part or in full by Bristol City Council (the Employer) or any Employer working in partnership with Bristol City Council (the Employer) during the term of the contract.",http://ted.europa.eu/udl?uri=TED:NOTICE:088832-2020:TEXT:EN:HTML,12000000,GBP
Allen Pyke Associates Ltd,,TA1 3EA,UK,1,London and Quadrant Housing Trust,E15 4PH,London and Quadrant Housing Trust — Landscape Architects Framework 2020-2024,20200221,"London and Quadrant Housing Trust and its subsidiary Quadrant construction services are one of the largest providers of affordable housing in the UK, housing over 250 000 people in more than 95 000 homes, primarily across London and the South East of England. London and Quadrant Housing Trust are tendering for the provision of Landscape Architects for London and Quadrant’s self delivered new build projects to comply with the Public Contracts regulations 2015. The objective of this tender process is to establish a framework agreement with the tenderers and London and Quadrant Housing Trust. The dates and contract value are estimates and could be subject to change. This is tender is for service providers only.",http://ted.europa.eu/udl?uri=TED:NOTICE:088833-2020:TEXT:EN:HTML,4000000,GBP
Aaron Evans,,,UK,1,Bath and North East Somerset Council,BA1 5AW,Architectural Design Services Framework,20200221,Architectural design services framework covering heritage and other buildings.,http://ted.europa.eu/udl?uri=TED:NOTICE:088854-2020:TEXT:EN:HTML,1200000,GBP
Operose Health (Group) UK Ltd,,HP6 6FA,UK,1,NHS Ealing CCG,W5 2HL,Community Ophthalmology Service,20200221,"Provision of a community based ophthalmology service for patients within Ealing. This is a consultant led service supported by a multidisciplinary team of specialist community optometrists. The service receives referrals from GPs, carries out triage and decides whether to treat the patient in the community or onward refer to secondary care.",http://ted.europa.eu/udl?uri=TED:NOTICE:088865-2020:TEXT:EN:HTML,1023412.00,GBP
Reimagining General practice GPMS Servie,,,UK,1,NHS England and NHS Improvement — North West (Lancashire and South Cumbria),PR2 8DY,NHSE525 Alternative Provider Medical Services for Burnley (Briercliffe Surgery),20200221,North of England Commissioning Support (NECS) is working for and on behalf of NHS England — North West (Lancashire and South Cumbria) (NHSE) and NHS East Lancashire Clinical Commissioning Group (CCG) (the Contracting Authorities) who wish to commission Alternative Provider Medical Services (APMS) at the premises currently known as Briercliffe Surgery within the locality of Burnley.,http://ted.europa.eu/udl?uri=TED:NOTICE:088866-2020:TEXT:EN:HTML,8831320,GBP
DCO Dental Group,,,UK,4,Greater Manchester Health and Social Care Partnership,M1 3BN,Specialist Primary Care Dental Service – Advanced Mandatory and Sedation (Oral Surgery).,20200221,North of England Commissioning Support (NECS) is a commissioning support service hosted by NHS England and managed this procurement process for and on behalf of Greater Manchester Health and Social Care Partnership (the Contracting Authority).,http://ted.europa.eu/udl?uri=TED:NOTICE:088867-2020:TEXT:EN:HTML,17278250,GBP
The Langley Dental Group Ltd,,,UK,4,Greater Manchester Health and Social Care Partnership,M1 3BN,Specialist Primary Care Dental Service – Advanced Mandatory and Sedation (Oral Surgery).,20200221,North of England Commissioning Support (NECS) is a commissioning support service hosted by NHS England and managed this procurement process for and on behalf of Greater Manchester Health and Social Care Partnership (the Contracting Authority).,http://ted.europa.eu/udl?uri=TED:NOTICE:088867-2020:TEXT:EN:HTML,17278250,GBP
Greater Manchester Oral Surgery and Restorative Group,,,UK,4,Greater Manchester Health and Social Care Partnership,M1 3BN,Specialist Primary Care Dental Service – Advanced Mandatory and Sedation (Oral Surgery).,20200221,North of England Commissioning Support (NECS) is a commissioning support service hosted by NHS England and managed this procurement process for and on behalf of Greater Manchester Health and Social Care Partnership (the Contracting Authority).,http://ted.europa.eu/udl?uri=TED:NOTICE:088867-2020:TEXT:EN:HTML,17278250,GBP
Precision Dental Clinic,,,UK,4,Greater Manchester Health and Social Care Partnership,M1 3BN,Specialist Primary Care Dental Service – Advanced Mandatory and Sedation (Oral Surgery).,20200221,North of England Commissioning Support (NECS) is a commissioning support service hosted by NHS England and managed this procurement process for and on behalf of Greater Manchester Health and Social Care Partnership (the Contracting Authority).,http://ted.europa.eu/udl?uri=TED:NOTICE:088867-2020:TEXT:EN:HTML,17278250,GBP
Hounslow and Richmond Community Healthcare NHS Trust,,TW11 8HU,UK,1,NHS Hounslow Clinicial Commissioning Group,TW3 3EB,Urgent Care Centre at West Middlesex Hospital,20200221,Provision of urgent care centre at West Middlesex Hospital.,http://ted.europa.eu/udl?uri=TED:NOTICE:088868-2020:TEXT:EN:HTML,3594908.00,GBP
Mind in Croydon,,CR8 2NE,UK,1,NHS Croydon Clinicial Commissioning Group,CR0 1EA,"Social Networking Hub, Counselling, Helpline and Information Services in Croydon",20200221,Community based non-clinical support to people experiencing mental health crisis and ongoing severe and enduring mental illness. Provision of 6-day per week services to:,http://ted.europa.eu/udl?uri=TED:NOTICE:088869-2020:TEXT:EN:HTML,3980174.00,GBP
Neilcott Construction Ltd,,BR5 3ST,UK,1,Kingston College (South Thames Colleges Group),KT1 2AQ,Kingston College Extension and Refurbishment Works — Phase 1,20200224,"External envelope works, new main entrance, internal refurbishment and re-organisation works.",http://ted.europa.eu/udl?uri=TED:NOTICE:091141-2020:TEXT:EN:HTML,6730272.86,GBP
G F Tomlinson Building Ltd,,DE21 4AG,UK,1,University of Birmingham,B15 2TT,Main Contractor Framework for Projects between 2 500 000 GBP-10 000 000 GBP,20200224,This opportunity is to create a University of Birmingham Main Contractor Construction Framework Agreement with the ability to support other HE Sector Organisations and to develop local initiatives for project between the value of 2 500 000 GBP-10 000 000 GBP. It is anticipated that the framework agreement will be for 10 years and will be based on the University of Birmingham construction project pipeline which is estimated to be in the region of 130 000 000 GBP. The framework is expected to generate partnership working and to develop long term relationships.,http://ted.europa.eu/udl?uri=TED:NOTICE:091142-2020:TEXT:EN:HTML,1000000000.00,EUR
Chiel Construction Ltd,,CV4 8AW,UK,1,University of Birmingham,B15 2TT,Main Contractor Framework for Projects between 0 GBP-2 500 000 GBP,20200224,This opportunity is to create a University of Birmingham Main contractor construction framework agreement with the ability to support other HE sector organisations and to develop local initiatives for project between the value of 2 000 000 GBP-2 500 000 GBP. It is anticipated that the framework agreement will be for 10 years and will be based on the University of Birmingham construction project pipeline which is estimated to be in the region of 130 000 000 GBP. The framework is expected to generate partnership working and to develop long term relationships.,http://ted.europa.eu/udl?uri=TED:NOTICE:091143-2020:TEXT:EN:HTML,1000000000.00,EUR
BAM Construction Ltd,,B90 4SS,UK,1,University of Birmingham,B15 2TT,Main Contractor Framework,20200224,This opportunity is to create a University of Birmingham Main contractor construction framework agreement with the ability to support other HE sector organisations and to develop local initiatives. It is anticipated that the framework agreement will be for 10 years and will be based on the University of Birmingham construction project pipeline which is estimated to be in the region of 700 000 000 GBP. The framework is expected to generate partnership working and to develop long term relationships.,http://ted.europa.eu/udl?uri=TED:NOTICE:091144-2020:TEXT:EN:HTML,1000000000.00,EUR
Gilbert-Ash Ltd,,,UK,1,Brunel University London,,Appointment of a Main Contractor for the Construction of a Learning and Teaching Centre,20200224,The university wishes to procure a principal contractor for a new Learning and Teaching Centre (LTC) which will be a 7-storey building providing various sizes of teaching rooms for ‘team based learning’ at Brunel University London. The building will include open plan spaces and group study rooms at each level of the building. The design has been developed to RIBA Stage 4 by the universities design team including Penoyre and Prasad Architects and BDP Engineers. The successful contractor will be required to complete the design and the form of contract will be the JCT Design and Build 2016 (with bespoke amendments). The university are not novating the design team but will permit the winning contractor to contact Penoyre and Prasad in relation to completing the architectural design. The value of the contract is in the region of 26 000 000 GBP-4 000 000 GBP .,http://ted.europa.eu/udl?uri=TED:NOTICE:091146-2020:TEXT:EN:HTML,40000000,GBP
